	P2_1_B
0	se necesitan pensiones dignas a los adultos mayores, ya que no alcanza el costo de vida tan alto en que que vivimos
1	el acceso a la salud sea de calidad, con diagnosticos que generen confianza no debiendo ir a santiago para conseguir confianza. altos costos de los servicios. 
2	"conprender que el trabajo es una ""actividad"" y no un ""lugar físico"", a partir de ello, la incorporación de la flexibilidad laboral permite generar mayor motivación. 
junto con ello, asimilar a trabajadores honorarios como aquellos que cuentan con cto indefinido y no como trabajadores de 2° categori"
3	"- más especialistas en los consultorios, son escasos lo que lleva a horas de espera interminables
-para realizarse exámenes de urgencia, es igual de tardía que la atención de especialistas, esperando meses o años.
-la atención de los médicos o sus equipos es de mala calidad e irrespetuosa "
4	hay que poner ojo en la educación de los jóvenes no los ven capaces de mantener un país una vez que crezcan
5	la salud en chile es muy mala y todos lo sabemos, hay que poner ma atencion
6	hay gente que ha trabajado toda su vida y luego sed muere por las migajas de dinero
7	"falta de especialistas(medicos)
falta de inversion en el area.
listas de espera enfermos
el sistema de espera no es eficiente.
mal trato del personal.
"
8	los sueldos deberían alcanzar a lo menos para satisfacer sin ningún inconveniente y de forma mensual las necesidades de las personas.sin que tengan que endeudarse para poder conseguirlos
9	"demora en interconsulta.
falta traslado para acceder a la posta o traslado en general
darle prioridad a adultos mayores. toma de exámenes."
10	"disminuir listas de espera
aumentar recursos sectores rurales y exigencia a los medicos para participar del servicio publico"
11	incertidumbre ante una enfermedad repentina o catastrófica de no poder tener los recursos para hacer frente ella
12	es necesario una nueva constitución que tenga relación con la actualidad sociopolítica y cultural del país.
13	-mejorar la calidad de la educación el nivel de profesionales que de desempeñen en la educación este correcto
14	es urgente que se mejore la salud a nivel público y privado. menos espera, bajar los costos, mayor acceso
15	"- los cursos son de muchos alumnos, lo que dificulta entregar educ. de calidad.
- universidad muy cara"
16	"- deberia ser prioridad y no hay mejoras en el sistema público con más especialistas
- más centros médicos, menos espera de atención"
17	"ya que existe falta de especialistas con experiencia que atiendan patologías en zona.
aumentar recursos destinados a nuestra realidad."
18	las políticas públicas deben diseñarse y aplicarse teniendo como principio rector y transversal el valor de la igualdad
19	mejorar la atencion en salud implementando y creando nuevos hospitales y mayormente dotar con médicos especialistas. oportuna atención a los enfermos.
20	-falta que se mejore la malla curricular a nivel escolar.que le agreguen  materias que potencien la inteligencia emocional.
21	por que el acceso  a la salud es muy malo, hay que esperar años para una hora medica.
22	como estudiante del área de la salud, veo cada día las necesidades de la gente y como el hospital no da abasto, pues no hay recursos ni profesionales.
23	"- no existe el respeto hacia las personas.
- nadie respeta, los adultos mayores.
- niños, mujeres."
24	"- a mayor demanda más caro el agua.
- m.ambiente más protegido y por la constitución. escala de derecho. nuestra vida depende de ello"
25	"que el ministro de la cartera sea una persona idonea
en general que se cumpla lo siguiente; garantias, oportunidad, acceso, cobertura"
26	"- falta vocación de servicio en las instituciones publicas
- aumentar gasto publico en salud y mejorar la administración del dinero
- modificar codigo sanitario
- el auge se extienda a otras patologías
 tomar mayor con
- mejorar difusión de talleres preventivos"
27	"-no encuentran atención y mala calidad
-muchas listas de espera en salud publica.
-por el estallido social, no lograban encontrar horas (por paros)."
28	el estado debe velar por potenciar desde sus instituciones el apoyo a organizaciones con discapacidad tales como organizaciones sociales y deportivas que le presten asesoría a postulación de fondos públicos entre otros.
29	"- Mayor trabajo en zonas rurales como en ferrocarriles, antiyareta
- trabajo de calidad y dignos para las personas, tambien trabajos en zonas rurales para que los jovenes regresen a la provincia
- Restringir y fiscalizar trabajos a extranjeros"
30	"nivel institucional politicos
pptos se utilizan para el fm social
con animo de justicia justifican robo de cuello y corbata."
31	"- mala atención en los hospitales, urgencias.
- falta de horas médicas.
- acceso a medicamentos (enfermos crónicos)"
32	posterior a los 18 años existan mayores oportunidades para las psd, como talleres y ofertas laborales.
33	"- no hay suficientes médicos para atender, por lo que se debe optar por atención particular.
- no tienen suficientes medicamentos."
34	reformar el sistema de salud pública, entregando un acceso universal, mejorar las listas de espera, ampliar la especialización de profesionales, aborto legal, libre, público y seguro. no a la objeción de conciencia en el sistema salud pública 
35	"mala atención, no hay especialistas.
mucha espera para las operaciones, no hay remedios, entregan pocas horas al día."
36	"pensión para la vejez
-subcidio para la personas que vivimos en la comuna general lagos
-vivienda adecuada a nuestra zona"
37	"-mas especialistas en la zona de arica y parinacota.
-incorporar más enfermedades en el auge (leucemia).
-necesitamos cefam en zona rurales."
38	Pedimos mejorar los sueldos de todas las personas que cobren el sueldo mínimo, que esto sea sobre los 500.000 pesos, también mejorar los contratos de trabajo.
39	que se genere igualdad frente a los sueldos. existe mucha diferencia entre lo que ganan los politicos y el sueldo minimo
40	"-gratuidad de la educacion
-acceso a la educacion sin restriccion ni evaluacion
-bajar los años de educación"
41	"la salud publica necesita mejorar
debe ser de calidad
el estado debe garantizar la gratuidad para toda la poblacion"
42	El sistema de salud publico es de bajo calidad. No hay medicamentos, hay listas de espera y la atención a los adultos mayores es muy deficiente.
43	"en el acceso a la educación.
en el acceso a la salud.
en el acceso a la justicia."
44	"para la juventud
para los adultos mayores se ven obligados a seguir trabajando luego de jubilar porque las pensiones son muy bajas"
45	"hay mucha desigualdad y mucha 
injusticia en el país.
igualdad en la educación, salud y
pensiones. se necesita equidad para tener una sociedad mas justa"
46	"las listas de espera son interminables. 
la salud pública no es de calidad y eso debe cambiar de forma urgente. "
47	"pensiones dignas
el sistema de pensiones debe mejorarse y hacer un profundo cobro para lugar y tener pensiones dignas"
48	"-mejorar la atención pública en calidad y rapidez
-reducción tiempo de espera a atención
-mejorar los programas actualizandolos"
49	procesos burocráticos tendidas, obstaculizadores que impiden cumplir los objetivos de trabajo ayudar a las familias y contribuir al país
50	"falta de trabajo, es un miedo latente ya que cuando se jefe o jefa de hogar es una incertidumbre persistente. 
la poca intervención de capital en la región para generar trabajo es inquietante.
"
51	a la gente le falta más educación y que sea de calidad asi evitarian la formación de delincuentes.
52	flta poner más orden en las calles, para poder andar más seguros, todos los delincuentes hacen lo que quieren porque nadie les dice nada.
