P2_1_B,lemma
"0	se necesitan pensiones dignas a los adultos mayores, ya que no alcanza el costo de vida tan alto en que que vivimos",pensión digno adulto mayor costo vida alto
"1	el acceso a la salud sea de calidad, con diagnosticos que generen confianza no debiendo ir a santiago para conseguir confianza. altos costos de los servicios.",acceso salud calidad diagnostico confianza confianza
"2	""conprender que el trabajo es una """"actividad"""" y no un """"lugar físico"""", a partir de ello, la incorporación de la flexibilidad laboral permite generar mayor motivación.",trabajo actividad lugar físico partir incorporación flexibilidad laboral mayor motivación
"junto con ello, asimilar a trabajadores honorarios como aquellos que cuentan con cto indefinido y no como trabajadores de 2° categori""",junto trabajador honorario cto indefinido trabajador categori
"3	""- más especialistas en los consultorios, son escasos lo que lleva a horas de espera interminables",especialista consultorio escaso hora espera interminable
"-para realizarse exámenes de urgencia, es igual de tardía que la atención de especialistas, esperando meses o años.",exámen urgencia igual atención especialista mes año
"-la atención de los médicos o sus equipos es de mala calidad e irrespetuosa """,atención médico equipo malo calidad irrespetuoso
4	hay que poner ojo en la educación de los jóvenes no los ven capaces de mantener un país una vez que crezcan,ojo educación joven capaz país uno vez
"5	la salud en chile es muy mala y todos lo sabemos, hay que poner ma atencion",malo atención
6	hay gente que ha trabajado toda su vida y luego sed muere por las migajas de dinero,gente vida migaja dinero
"7	""falta de especialistas(medicos)",falta especialistas medico
falta de inversion en el area.,falta inversión área
listas de espera enfermos,lista espera enfermo
el sistema de espera no es eficiente.,sistema espera eficiente
mal trato del personal.,mal trato personal
8	los sueldos deberían alcanzar a lo menos para satisfacer sin ningún inconveniente y de forma mensual las necesidades de las personas.sin que tengan que endeudarse para poder conseguirlos,sueldo inconveniente forma mensual necesidad persona
"9	""demora en interconsulta.",demora interconsulta
falta traslado para acceder a la posta o traslado en general,traslado posta traslado general
"darle prioridad a adultos mayores. toma de exámenes.""",prioridad adulto mayor
"10	""disminuir listas de espera",lista espera
"aumentar recursos sectores rurales y exigencia a los medicos para participar del servicio publico""",recurso sector rural exigencia medico servicio público
11	incertidumbre ante una enfermedad repentina o catastrófica de no poder tener los recursos para hacer frente ella,incertidumbre enfermedad repentino catastrófico recurso frente
12	es necesario una nueva constitución que tenga relación con la actualidad sociopolítica y cultural del país.,necesario nuevo constitución relación actualidad sociopolítica cultural país
13	-mejorar la calidad de la educación el nivel de profesionales que de desempeñen en la educación este correcto,calidad educación nivel profesional educación correcto
"14	es urgente que se mejore la salud a nivel público y privado. menos espera, bajar los costos, mayor acceso",urgente salud nivel público privado
"15	""- los cursos son de muchos alumnos, lo que dificulta entregar educ. de calidad.",curso alumno educ calidad
"- universidad muy cara""",universidad cara
"16	""- deberia ser prioridad y no hay mejoras en el sistema público con más especialistas",prioridad sistema público especialista
"- más centros médicos, menos espera de atención""",centro médico atención
"17	""ya que existe falta de especialistas con experiencia que atiendan patologías en zona.",falta especialista experiencia patología zona
"aumentar recursos destinados a nuestra realidad.""",recurso destinado realidad
18	las políticas públicas deben diseñarse y aplicarse teniendo como principio rector y transversal el valor de la igualdad,política público principio rector valor igualdad
19	mejorar la atencion en salud implementando y creando nuevos hospitales y mayormente dotar con médicos especialistas. oportuna atención a los enfermos.,atención salud nuevo hospital mayormente médico especialista
20	-falta que se mejore la malla curricular a nivel escolar.que le agreguen  materias que potencien la inteligencia emocional.,malla curricular nivel escolar agregar materia inteligencia emocional
"21	por que el acceso  a la salud es muy malo, hay que esperar años para una hora medica.",acceso salud malo año hora medico
"22	como estudiante del área de la salud, veo cada día las necesidades de la gente y como el hospital no da abasto, pues no hay recursos ni profesionales.",estudiante área salud día necesidad gente hospital abasto recurso profesional
"23	""- no existe el respeto hacia las personas.",respeto persona
"- nadie respeta, los adultos mayores.",adulto mayor
"24	""- a mayor demanda más caro el agua.",mayor demanda caro agua
"- m.ambiente más protegido y por la constitución. escala de derecho. nuestra vida depende de ello""",protegido
"25	""que el ministro de la cartera sea una persona idonea",ministro cartera persona idoneo
"en general que se cumpla lo siguiente; garantias, oportunidad, acceso, cobertura""",general siguiente garantia oportunidad acceso cobertura
"26	""- falta vocación de servicio en las instituciones publicas",vocación servicio institución publico
- aumentar gasto publico en salud y mejorar la administración del dinero,gasto público salud administración dinero
- modificar codigo sanitario,codigo sanitario
- el auge se extienda a otras patologías,auge patología
tomar mayor con,mayor
"- mejorar difusión de talleres preventivos""",difusión taller preventivo
"27	""-no encuentran atención y mala calidad",atención malo calidad
-muchas listas de espera en salud publica.,lista espera salud
"-por el estallido social, no lograban encontrar horas (por paros).""",estallido social hora paro
28	el estado debe velar por potenciar desde sus instituciones el apoyo a organizaciones con discapacidad tales como organizaciones sociales y deportivas que le presten asesoría a postulación de fondos públicos entre otros.,estado deber institución apoyo organización discapacidad tal organización social deportivo postulación fondo público
"29	""- Mayor trabajo en zonas rurales como en ferrocarriles, antiyareta",mayor trabajo zona rural ferrocarril
"- trabajo de calidad y dignos para las personas, tambien trabajos en zonas rurales para que los jovenes regresen a la provincia",trabajo calidad digno persona trabajo zona rural joven provincia
"- Restringir y fiscalizar trabajos a extranjeros""",trabajo extranjero
"30	""nivel institucional politicos",nivel institucional politico
pptos se utilizan para el fm social,social
"con animo de justicia justifican robo de cuello y corbata.""",animo justicia robo cuello corbata
"31	""- mala atención en los hospitales, urgencias.",malo atención hospital urgencia
- falta de horas médicas.,falta hora médico
"- acceso a medicamentos (enfermos crónicos)""",acceso medicamento enfermo crónico
"32	posterior a los 18 años existan mayores oportunidades para las psd, como talleres y ofertas laborales.",posterior año mayor oportunidad psd taller oferta laboral
"33	""- no hay suficientes médicos para atender, por lo que se debe optar por atención particular.",suficiente médico atención particular
"- no tienen suficientes medicamentos.""",suficiente medicamento
"34	reformar el sistema de salud pública, entregando un acceso universal, mejorar las listas de espera, ampliar la especialización de profesionales, aborto legal, libre, público y seguro. no a la objeción de conciencia en el sistema salud pública",sistema salud público acceso universal lista espera especialización profesional aborto legal libre público seguro
"35	""mala atención, no hay especialistas.",malo atención especialista
"mucha espera para las operaciones, no hay remedios, entregan pocas horas al día.""",operación remedio hora día
"36	""pensión para la vejez",pensión
-subcidio para la personas que vivimos en la comuna general lagos,subcidio persona general
"-vivienda adecuada a nuestra zona""",vivienda adecuado zona
"37	""-mas especialistas en la zona de arica y parinacota.",especialista zona arica parinacota
-incorporar más enfermedades en el auge (leucemia).,enfermedad auge leucemia
"-necesitamos cefam en zona rurales.""",cefam zona rural
"38	Pedimos mejorar los sueldos de todas las personas que cobren el sueldo mínimo, que esto sea sobre los 500.000 pesos, también mejorar los contratos de trabajo.",sueldo persona sueldo mínimo ser peso contrato trabajo
39	que se genere igualdad frente a los sueldos. existe mucha diferencia entre lo que ganan los politicos y el sueldo minimo,igualdad sueldo
"40	""-gratuidad de la educacion",gratuidad educación
-acceso a la educacion sin restriccion ni evaluacion,acceso educación restriccion evaluación
"-bajar los años de educación""",año educación
debe ser de calidad,calidad
"el estado debe garantizar la gratuidad para toda la poblacion""",estado deber gratuidad población
"42	El sistema de salud publico es de bajo calidad. No hay medicamentos, hay listas de espera y la atención a los adultos mayores es muy deficiente.",sistema salud público calidad
"43	""en el acceso a la educación.",acceso educación
en el acceso a la salud.,acceso salud
"en el acceso a la justicia.""",acceso
"44	""para la juventud",juventud
"para los adultos mayores se ven obligados a seguir trabajando luego de jubilar porque las pensiones son muy bajas""",adulto mayor obligado pensión baja
"45	""hay mucha desigualdad y mucha",desigualdad
injusticia en el país.,injusticia país
"igualdad en la educación, salud y",igualdad educación salud
"46	""las listas de espera son interminables.",lista espera interminable
"la salud pública no es de calidad y eso debe cambiar de forma urgente. """,salud público calidad deber forma urgente
"el sistema de pensiones debe mejorarse y hacer un profundo cobro para lugar y tener pensiones dignas""",sistema pensión profundo cobro lugar pensión digno
"48	""-mejorar la atención pública en calidad y rapidez",atención público calidad
-reducción tiempo de espera a atención,reducción tiempo espera atención
"-mejorar los programas actualizandolos""",programa
"49	procesos burocráticos tendidas, obstaculizadores que impiden cumplir los objetivos de trabajo ayudar a las familias y contribuir al país",proceso burocrático tendido obstaculizador objetivo trabajo familia país
"50	""falta de trabajo, es un miedo latente ya que cuando se jefe o jefa de hogar es una incertidumbre persistente.",falta trabajo miedo latente jefe jefa hogar incertidumbre persistente
la poca intervención de capital en la región para generar trabajo es inquietante.,intervención capital región trabajo inquietante
51	a la gente le falta más educación y que sea de calidad asi evitarian la formación de delincuentes.,gente educación calidad formación delincuente
"52	flta poner más orden en las calles, para poder andar más seguros, todos los delincuentes hacen lo que quieren porque nadie les dice nada.",orden calle seguro delincuente
"53	debe existir la necesidad de cambiar de un modo inteligente, para que se den las mismas oportunidades para todos . • en definitiva, deben existir las mismas oportunidades en educación, salud, pensiones, trabajo -legislación laboral-, cultura, entre otras.",necesidad modo inteligente oportunidad
